Feature,Importance
dam,0.530001524456091
kx,0.5298734257484132
ros,0.5278499154379517
ngo,0.5276938004629149
ye,0.5273985654599175
aus,0.5197503875583376
cht,0.5195099844531953
aal,0.5182769316857432
rne,0.5176541632516641
ool,0.51606208278505
vo,0.5148817206344741
la,0.5132187009987005
fri,0.5122609831832016
ul,0.5115186896990537
uy,0.5107278468979068
ing,0.5083704752328612
et,0.5079186801439421
rus,0.5070628493004189
lis,0.5046983797526935
ni,0.5042697032274289
loe,0.5030486548681283
kin,0.5024600874945979
vos,0.5023736136193556
aas,0.5016968982843104
w,0.5015143023192349
zt,0.5002033615555203
rzt,0.5002033615555203
har,0.4995536114042223
kes,0.4983950226324666
kas,0.4970914207346823
olm,0.4957281825035799
mer,0.49409239110933845
ti,0.4933739020287054
koo,0.4924643208344191
ip,0.49152689386911436
op,0.48919057643064157
r,0.48816196249558225
th,0.48352310798062537
rot,0.48039864165924573
mak,0.4799854817996151
jan,0.4782337335976225
luc,0.4762701221683317
uca,0.4762701221683317
x,0.47335304972514014
eu,0.4723443458090464
mit,0.4718621172427769
smi,0.4718621172427769
ich,0.4684750407585333
imo,0.4665175238938629
ur,0.4648288555486355
ren,0.46421245741728556
ue,0.46417496868036223
kop,0.4621873344968068
jn,0.4619566595635671
ijn,0.4619566595635671
ist,0.46151203513620365
nst,0.4597453623245327
ere,0.4586490959231392
oon,0.45683889898254465
art,0.4561917377460976
ot,0.45592109883606063
nne,0.45461150263457684
eij,0.454361271953928
ban,0.4537229041485286
zen,0.4524260435055899
sne,0.4521206679767472
ou,0.45084650350357736
rik,0.4499245859699844
oos,0.4487997073982356
re,0.4484415573171488
ank,0.4447090845641759
nd,0.4445473850515674
opp,0.4433761843198345
ie,0.44290563203483985
mp,0.4411927326765807
k,0.4390283318158596
hou,0.4351090094426047
ost,0.43494792581379127
ga,0.4347550585124332
ckm,0.43443527668088155
kel,0.43426720600263063
sü,0.43248571255786816
ms,0.4317125506521409
rse,0.43021787630913216
de,0.42930400965890897
gu,0.42909515131164966
rsc,0.42881829234597746
eld,0.42831743062811145
chi,0.42756729488268785
uss,0.4266800524678975
ees,0.426304316425859
bro,0.42604092716639647
vi,0.42444874676605526
ali,0.42356143079782566
oh,0.4223451165159701
y,0.4205853632994213
des,0.4204460676036936
ht,0.4196416943270961
ft,0.4185050945824942
f,0.4161740820099183
ı,0.41495256324014596
oov,0.41189726001128163
bu,0.41027496113715917
nz,0.4094443957758017
alb,0.4075280726900858
ay,0.40751874884505995
gre,0.4074526655213271
ola,0.4058191328943754
oen,0.4052270512694662
eut,0.40423180072906495
ang,0.40238013635825187
mar,0.4022219995846514
jon,0.4017060956433637
ake,0.4012357851431478
pe,0.3992366999915327
onk,0.39918210403073867
mme,0.39822069824687695
mel,0.39822069824687695
umm,0.39822069824687695
hum,0.39822069824687695
bot,0.39813572627889543
bbi,0.39771375188424296
ale,0.3976444389251294
ci,0.3975857228736023
hr,0.39748632884333546
all,0.3963826102759334
var,0.3963285584826263
ud,0.39556938236066086
ak,0.3949410327056071
fli,0.39490004283877084
pse,0.39490004283877084
nb,0.3911062225281642
sle,0.39046143609582745
est,0.3888858328614337
osi,0.38885985767027337
rop,0.3886598449194506
omp,0.3872649265021143
nti,0.3869383551304359
br,0.3857683381295106
yl,0.3843632849278555
ky,0.3843632849278555
kyl,0.3843632849278555
yle,0.3843632849278555
l,0.38372070735735014
vog,0.38347404958325004
